Talk ID,Date,Time,Origin,Contact ID,Contact Name,Lead ID,Responsible User Name,Chat ID,Status,Duration (sec),First Message Time,First Response Duration (sec)
26673,2025-07-22,07:52:53,WhatsApp (CRM),15763048,Contact_88b31c1c,L_1c56c9d9,,Chat_19bc9f49,in_work,,,
26672,2025-07-22,07:52:50,WhatsApp (CRM),15763046,Contact_97c80c58,L_38788880,,Chat_7a115fb4,in_work,,,
26671,2025-07-22,07:52:37,WhatsApp (CRM),15763036,Contact_601644c0,L_b8938b4d,,Chat_6d023352,in_work,,,
26670,2025-07-22,07:52:09,WhatsApp (CRM),15763024,Contact_9407f14f,L_57cb814d,,Chat_57b5ea3b,in_work,,,
26669,2025-07-22,07:52:07,WhatsApp (CRM),15763022,Contact_193e22ee,L_34e0d227,,Chat_9e4168df,in_work,,,
26668,2025-07-22,07:52:02,WhatsApp (CRM),15763020,Contact_d5decf41,L_dedf848a,,Chat_fb43ffd0,in_work,,,
26667,2025-07-22,07:51:38,WhatsApp (CRM),15763012,Contact_bb1cb70b,L_c858e1c6,,Chat_265ea193,in_work,,,
26666,2025-07-22,07:50:33,WhatsApp (CRM),15762956,Contact_156d1a59,L_3ff67186,,Chat_21e05cef,in_work,,,
26665,2025-07-22,07:50:10,WhatsApp (CRM),15762942,Contact_ff96ca23,L_5863f514,,Chat_176b282d,in_work,,,
26664,2025-07-22,07:50:08,WhatsApp (CRM),15762934,Contact_6f521499,L_339347b0,,Chat_82568d62,in_work,,,
26663,2025-07-22,07:50:04,WhatsApp (CRM),15762928,Contact_b80cc013,L_a9b00256,,Chat_d9006fd1,in_work,,,
26662,2025-07-22,07:50:00,WhatsApp (CRM),15762922,Contact_42afdbbb,L_64c04964,,Chat_a8fdabad,in_work,,,
26661,2025-07-22,07:49:22,WhatsApp (CRM),15762900,Contact_fe2d26d7,L_8fe32761,,Chat_48ba95ab,in_work,,,
26660,2025-07-22,07:48:30,WhatsApp (CRM),15762864,Contact_59aa962f,L_0faf36d7,,Chat_db68aaaa,in_work,,,
26659,2025-07-22,07:47:34,WhatsApp (CRM),15762844,Contact_fa97ea71,L_5a01f89c,,Chat_e2636f41,in_work,,,
26658,2025-07-22,07:47:14,WhatsApp (CRM),15762830,Contact_3a52ce78,L_e7d1f445,,Chat_def216c3,in_work,,,
26657,2025-07-22,07:47:14,WhatsApp (CRM),15762828,Contact_56f7d4ea,L_d36a1187,,Chat_c7a9059e,in_work,,,
26656,2025-07-22,07:46:55,WhatsApp (CRM),15762816,Contact_386dd914,L_19e0353d,,Chat_78db48d7,in_work,,,
26655,2025-07-22,07:45:59,Instagram Business,15762794,Contact_0b6c204a,L_cbbd4785,,Chat_7927f63e,in_work,,,
26654,2025-07-22,07:45:59,WhatsApp (CRM),15762792,Contact_ba182140,L_bb272534,,Chat_cf259a26,in_work,,,
26652,2025-07-22,07:45:40,WhatsApp (CRM),15762776,Contact_076e26fd,L_b622621c,,Chat_ffbd118a,in_work,,,
26653,2025-07-22,07:45:40,WhatsApp (CRM),15762778,Contact_4ae35314,L_6b64be0d,,Chat_e28616c1,in_work,,,
26651,2025-07-22,07:45:35,WhatsApp (CRM),15762770,Contact_ab79478d,L_b5e2c55e,,Chat_69efdc56,in_work,,,
26650,2025-07-22,07:45:14,WhatsApp (CRM),15762750,Contact_68effb53,L_faa6760e,,Chat_db7f24c1,in_work,,,
26649,2025-07-22,07:44:56,WhatsApp (CRM),15762736,Contact_839e920c,L_56b62370,,Chat_d3daf063,in_work,,,
26648,2025-07-22,07:44:51,WhatsApp (CRM),15762734,Contact_6d1a8be5,L_1ddcda73,,Chat_ee324e5d,in_work,,,
26647,2025-07-22,07:44:13,WhatsApp (CRM),15762710,Contact_df77f4e3,L_ef6fabab,,Chat_b4e41534,in_work,,,
26646,2025-07-22,07:44:10,WhatsApp (CRM),15762708,Contact_37d2c697,L_cd8d26ca,,Chat_c4dfc36d,in_work,,,
26645,2025-07-22,07:43:40,WhatsApp (CRM),15762684,Contact_d6f1b66d,L_4abda558,,Chat_21f7ab71,in_work,,,
26644,2025-07-22,07:43:23,Instagram Business,15762674,Contact_00cf829a,L_eb0575d0,,Chat_88aead13,in_work,,,
26643,2025-07-22,07:43:02,WhatsApp (CRM),15762662,Contact_46dde848,L_d1f8d70e,,Chat_62460cb6,in_work,,,
26642,2025-07-22,07:42:46,WhatsApp (CRM),15762658,Contact_9cd15e62,L_6d9f6d6c,,Chat_82891f66,in_work,,,
26641,2025-07-22,07:42:34,WhatsApp (CRM),15762650,Contact_3482745d,L_1edddf8f,,Chat_6a292e87,in_work,,,
26640,2025-07-22,07:42:26,WhatsApp (CRM),15762642,Contact_2a4083c7,L_8b590884,,Chat_a78f62e5,in_work,,,
26639,2025-07-22,07:42:25,WhatsApp (CRM),15762638,Contact_4ae35314,L_4933d03b,,Chat_2a92c584,in_work,,,
26638,2025-07-22,07:42:23,WhatsApp (CRM),15762634,Contact_ebb3149e,L_8eec25ab,,Chat_c5fb0a39,in_work,,,
26637,2025-07-22,07:42:09,WhatsApp (CRM),15762626,Contact_98b5a335,L_140cafc8,,Chat_8c1461fd,in_work,,,
26636,2025-07-22,07:41:46,WhatsApp (CRM),15762610,Contact_0995fd6c,L_a8543c5a,,Chat_7366d753,in_work,,,
26635,2025-07-22,07:41:42,Instagram Business,15762604,Contact_21ea1874,L_0fc06b4c,,Chat_7ac82259,in_work,,,
26634,2025-07-22,07:41:34,WhatsApp (CRM),15762596,Contact_fd8d64b3,L_514d28f6,,Chat_b490b2c2,in_work,,,
26633,2025-07-22,07:41:19,WhatsApp (CRM),15762586,Contact_5612f97c,L_c57604da,,Chat_ef221e99,in_work,,,
26632,2025-07-22,07:40:46,WhatsApp (CRM),15762566,Contact_2ff98cce,L_5125a650,,Chat_d544e309,in_work,,,
26631,2025-07-22,07:40:45,WhatsApp (CRM),15762562,Contact_3a52ce78,L_9c330ea8,,Chat_7428fc44,in_work,,,
26630,2025-07-22,07:40:44,WhatsApp (CRM),15762560,Contact_5bafba92,L_e35d4ef1,,Chat_c694bc8e,in_work,,,
26629,2025-07-22,07:40:31,WhatsApp (CRM),15762552,Contact_82cff676,L_9c1519f9,,Chat_07fb8bd5,in_work,,,
26628,2025-07-22,07:40:27,Instagram Business,15762548,Contact_0ad79ebb,L_a977f805,,Chat_f92357d6,in_work,,,
26627,2025-07-22,07:40:22,WhatsApp (CRM),15762544,Contact_c1bef1e4,L_53e91af6,,Chat_2d18511a,in_work,,,
26626,2025-07-22,07:40:14,WhatsApp (CRM),15762540,Contact_2dccce05,L_3825c043,,Chat_24936279,in_work,,,
26625,2025-07-22,07:40:07,WhatsApp (CRM),15762534,Contact_e685252b,L_08d37fd9,,Chat_1b347cd7,in_work,,,
26624,2025-07-22,07:40:01,WhatsApp (CRM),15762532,Contact_99657387,L_c8c49acf,,Chat_0d7a2fa2,in_work,,,
26623,2025-07-22,07:39:46,WhatsApp (CRM),15762514,Contact_735f5474,L_fc322f23,,Chat_f58d9b7a,in_work,,,
26622,2025-07-22,07:38:50,WhatsApp (CRM),15762472,Contact_ed25f4e5,L_6144f7e0,,Chat_366ffa03,in_work,,,
26621,2025-07-22,07:38:42,WhatsApp (CRM),15762466,Contact_bd12e4b8,L_0d2647cf,,Chat_323236b0,in_work,,,
26620,2025-07-22,07:38:35,WhatsApp (CRM),15762464,Contact_e17579cf,L_87ae1b81,,Chat_df6fba62,in_work,,,
26619,2025-07-22,07:38:13,WhatsApp (CRM),15762448,Contact_775915dd,L_442c6df7,,Chat_d9f7fa3d,in_work,,,
26618,2025-07-22,07:37:48,Instagram Business,15762432,Contact_80b842b9,L_46ec073c,,Chat_9b8ee4f3,in_work,,,
26617,2025-07-22,07:37:39,Instagram Business,15762420,Contact_5f6ae465,L_324d9a74,,Chat_75cc57e0,in_work,,,
26616,2025-07-22,07:37:03,WhatsApp (CRM),15762396,Contact_85716b79,L_a1f71487,,Chat_49b457ad,in_work,,,
26615,2025-07-22,07:37:01,Instagram Business,15762394,Contact_290eed71,L_a14f1d8d,,Chat_25db8d3a,in_work,,,
26614,2025-07-22,07:36:57,WhatsApp (CRM),15762388,Contact_4623d2f5,L_d249cb31,,Chat_ee743449,in_work,,,
26613,2025-07-22,07:36:41,WhatsApp (CRM),15762378,Contact_38e4531a,L_5a337d6c,,Chat_a65956d4,in_work,,,
26612,2025-07-22,07:36:34,Instagram Business,15762372,Contact_44776c6f,L_41ece86d,,Chat_d82fe95e,in_work,,,
26611,2025-07-22,07:36:30,WhatsApp (CRM),15762364,Contact_d476ae7b,L_eb092ed0,,Chat_86630b38,in_work,,,
26610,2025-07-22,07:36:19,WhatsApp (CRM),15762354,Contact_046cfa3e,L_4b65638d,,Chat_04777cfd,in_work,,,
26609,2025-07-22,07:36:05,WhatsApp (CRM),15762344,Contact_2ba315e5,L_43e7541a,,Chat_c5414bb3,in_work,,,
26608,2025-07-22,07:36:00,WhatsApp (CRM),15762336,Contact_c7afb9e4,L_64d78d1b,,Chat_beb4c849,in_work,,,
26607,2025-07-22,07:35:59,WhatsApp (CRM),15762334,Contact_93b37de8,L_d0e9b6fc,,Chat_4605269a,in_work,,,
26606,2025-07-22,07:35:50,Instagram Business,15762328,Contact_f8df8838,L_673a8443,,Chat_967f1103,in_work,,,
26605,2025-07-22,07:35:45,WhatsApp (CRM),15762326,Contact_c1212e9c,L_c48677af,,Chat_bb0941a9,in_work,,,
26604,2025-07-22,07:35:31,WhatsApp (CRM),15762314,Contact_098696f7,L_af2086c2,,Chat_b8657983,in_work,,,
26603,2025-07-22,07:35:28,Instagram Business,15762308,Contact_0e7df136,L_89bc87ae,,Chat_5ef1d659,in_work,,,
26602,2025-07-22,07:35:17,WhatsApp (CRM),15762300,Contact_7ff66691,L_b175f9ae,,Chat_16609fec,in_work,,,
26601,2025-07-22,07:35:10,WhatsApp (CRM),15762294,Contact_c64d1ca8,L_f3b08735,,Chat_0180319f,in_work,,,
26600,2025-07-22,07:35:08,Instagram Business,15762292,Contact_dae0090d,L_88136960,,Chat_d4835820,in_work,,,
26599,2025-07-22,07:35:05,Instagram Business,15762288,Contact_8fa67f8b,L_13e8bbe5,,Chat_59cf98a9,in_work,,,
26598,2025-07-22,07:34:43,Instagram Business,15762276,Contact_0289b4c5,L_99523dd1,,Chat_0bdda57a,in_work,,,
26597,2025-07-22,07:34:41,WhatsApp (CRM),15762274,Contact_a3001d0f,L_8955dc69,,Chat_582d2788,in_work,,,
26596,2025-07-22,07:34:36,WhatsApp (CRM),15762270,Contact_302040ed,L_bd9822f7,,Chat_1c5ce9a5,in_work,,,
26595,2025-07-22,07:34:35,WhatsApp (CRM),15762268,Contact_23666dc8,L_3365d901,,Chat_f31a8aec,in_work,,,
26594,2025-07-22,07:34:23,WhatsApp (CRM),15762264,Contact_5a2c492e,L_eeabeaa0,,Chat_5cdd5d67,in_work,,,
26593,2025-07-22,07:34:20,Instagram Business,15762260,Contact_8d660e85,L_d4d907a3,,Chat_58a48f20,in_work,,,
